image path,label,prediction
PatternNet\airplane\airplane443.jpg,0,0
PatternNet\airplane\airplane444.jpg,0,0
PatternNet\airplane\airplane452.jpg,0,0
PatternNet\airplane\airplane453.jpg,0,0
PatternNet\airplane\airplane454.jpg,0,0
PatternNet\airplane\airplane462.jpg,0,0
PatternNet\airplane\airplane463.jpg,0,0
PatternNet\airplane\airplane464.jpg,0,0
PatternNet\airplane\airplane472.jpg,0,0
PatternNet\airplane\airplane473.jpg,0,0
PatternNet\airplane\airplane474.jpg,0,0
PatternNet\airplane\airplane482.jpg,0,0
PatternNet\airplane\airplane483.jpg,0,0
PatternNet\airplane\airplane484.jpg,0,0
PatternNet\airplane\airplane492.jpg,0,0
PatternNet\airplane\airplane493.jpg,0,0
PatternNet\airplane\airplane494.jpg,0,0
PatternNet\airplane\airplane502.jpg,0,0
PatternNet\airplane\airplane503.jpg,0,0
PatternNet\airplane\airplane504.jpg,0,0
PatternNet\airplane\airplane512.jpg,0,0
PatternNet\airplane\airplane513.jpg,0,0
PatternNet\airplane\airplane514.jpg,0,0
PatternNet\airplane\airplane522.jpg,0,0
PatternNet\airplane\airplane523.jpg,0,0
PatternNet\airplane\airplane524.jpg,0,0
PatternNet\airplane\airplane532.jpg,0,0
PatternNet\airplane\airplane533.jpg,0,0
PatternNet\airplane\airplane534.jpg,0,0
PatternNet\airplane\airplane542.jpg,0,0
PatternNet\airplane\airplane543.jpg,0,0
PatternNet\airplane\airplane544.jpg,0,0
PatternNet\airplane\airplane552.jpg,0,0
PatternNet\airplane\airplane553.jpg,0,0
PatternNet\airplane\airplane554.jpg,0,0
PatternNet\airplane\airplane562.jpg,0,0
PatternNet\airplane\airplane563.jpg,0,0
PatternNet\airplane\airplane564.jpg,0,0
PatternNet\airplane\airplane572.jpg,0,0
PatternNet\airplane\airplane573.jpg,0,0
PatternNet\airplane\airplane574.jpg,0,0
PatternNet\airplane\airplane582.jpg,0,0
PatternNet\airplane\airplane583.jpg,0,0
PatternNet\airplane\airplane584.jpg,0,0
PatternNet\airplane\airplane592.jpg,0,0
PatternNet\airplane\airplane593.jpg,0,0
PatternNet\airplane\airplane594.jpg,0,0
PatternNet\airplane\airplane602.jpg,0,0
PatternNet\airplane\airplane603.jpg,0,0
PatternNet\airplane\airplane604.jpg,0,0
PatternNet\airplane\airplane612.jpg,0,0
PatternNet\airplane\airplane613.jpg,0,0
PatternNet\airplane\airplane614.jpg,0,0
PatternNet\airplane\airplane622.jpg,0,0
PatternNet\airplane\airplane623.jpg,0,0
PatternNet\airplane\airplane624.jpg,0,0
PatternNet\airplane\airplane632.jpg,0,0
PatternNet\airplane\airplane633.jpg,0,0
PatternNet\airplane\airplane634.jpg,0,0
PatternNet\airplane\airplane642.jpg,0,0
PatternNet\airplane\airplane643.jpg,0,0
PatternNet\airplane\airplane644.jpg,0,0
PatternNet\airplane\airplane652.jpg,0,0
PatternNet\airplane\airplane653.jpg,0,0
PatternNet\airplane\airplane654.jpg,0,0
PatternNet\airplane\airplane662.jpg,0,0
PatternNet\airplane\airplane663.jpg,0,0
PatternNet\airplane\airplane664.jpg,0,0
PatternNet\airplane\airplane672.jpg,0,0
PatternNet\airplane\airplane673.jpg,0,0
PatternNet\airplane\airplane674.jpg,0,0
PatternNet\airplane\airplane682.jpg,0,0
PatternNet\airplane\airplane683.jpg,0,0
PatternNet\airplane\airplane684.jpg,0,0
PatternNet\airplane\airplane692.jpg,0,0
PatternNet\airplane\airplane693.jpg,0,0
PatternNet\airplane\airplane694.jpg,0,0
PatternNet\airplane\airplane702.jpg,0,0
PatternNet\airplane\airplane703.jpg,0,0
PatternNet\airplane\airplane704.jpg,0,0
PatternNet\airplane\airplane712.jpg,0,0
PatternNet\airplane\airplane713.jpg,0,0
PatternNet\airplane\airplane714.jpg,0,0
PatternNet\airplane\airplane722.jpg,0,0
PatternNet\airplane\airplane723.jpg,0,0
PatternNet\airplane\airplane724.jpg,0,0
PatternNet\airplane\airplane732.jpg,0,0
PatternNet\airplane\airplane733.jpg,0,0
PatternNet\airplane\airplane734.jpg,0,0
PatternNet\airplane\airplane742.jpg,0,0
PatternNet\airplane\airplane743.jpg,0,0
PatternNet\airplane\airplane744.jpg,0,0
PatternNet\airplane\airplane752.jpg,0,0
PatternNet\airplane\airplane753.jpg,0,0
PatternNet\airplane\airplane754.jpg,0,0
PatternNet\airplane\airplane762.jpg,0,0
PatternNet\airplane\airplane763.jpg,0,0
PatternNet\airplane\airplane764.jpg,0,0
PatternNet\airplane\airplane772.jpg,0,0
PatternNet\airplane\airplane773.jpg,0,0
PatternNet\airplane\airplane774.jpg,0,0
PatternNet\airplane\airplane782.jpg,0,0
PatternNet\airplane\airplane783.jpg,0,0
PatternNet\airplane\airplane784.jpg,0,0
PatternNet\airplane\airplane792.jpg,0,0
PatternNet\airplane\airplane793.jpg,0,0
PatternNet\airplane\airplane794.jpg,0,0
PatternNet\baseball_field\baseballfield002.jpg,1,1
PatternNet\baseball_field\baseballfield003.jpg,1,1
PatternNet\baseball_field\baseballfield004.jpg,1,1
PatternNet\baseball_field\baseballfield012.jpg,1,13
PatternNet\baseball_field\baseballfield013.jpg,1,16
PatternNet\baseball_field\baseballfield014.jpg,1,1
PatternNet\baseball_field\baseballfield022.jpg,1,1
PatternNet\baseball_field\baseballfield023.jpg,1,1
PatternNet\baseball_field\baseballfield024.jpg,1,1
PatternNet\baseball_field\baseballfield032.jpg,1,1
PatternNet\baseball_field\baseballfield033.jpg,1,1
PatternNet\baseball_field\baseballfield034.jpg,1,1
PatternNet\baseball_field\baseballfield042.jpg,1,1
PatternNet\baseball_field\baseballfield043.jpg,1,1
PatternNet\baseball_field\baseballfield044.jpg,1,1
PatternNet\baseball_field\baseballfield052.jpg,1,1
PatternNet\baseball_field\baseballfield053.jpg,1,1
PatternNet\baseball_field\baseballfield054.jpg,1,1
PatternNet\baseball_field\baseballfield062.jpg,1,1
PatternNet\baseball_field\baseballfield063.jpg,1,1
PatternNet\baseball_field\baseballfield064.jpg,1,1
PatternNet\baseball_field\baseballfield072.jpg,1,1
PatternNet\baseball_field\baseballfield073.jpg,1,1
PatternNet\baseball_field\baseballfield074.jpg,1,1
PatternNet\baseball_field\baseballfield082.jpg,1,1
PatternNet\baseball_field\baseballfield083.jpg,1,1
PatternNet\baseball_field\baseballfield084.jpg,1,1
PatternNet\baseball_field\baseballfield092.jpg,1,1
PatternNet\baseball_field\baseballfield093.jpg,1,1
PatternNet\baseball_field\baseballfield094.jpg,1,1
PatternNet\baseball_field\baseballfield102.jpg,1,1
PatternNet\baseball_field\baseballfield103.jpg,1,1
PatternNet\baseball_field\baseballfield104.jpg,1,1
PatternNet\baseball_field\baseballfield112.jpg,1,1
PatternNet\baseball_field\baseballfield113.jpg,1,1
PatternNet\baseball_field\baseballfield114.jpg,1,1
PatternNet\baseball_field\baseballfield122.jpg,1,1
PatternNet\baseball_field\baseballfield123.jpg,1,1
PatternNet\baseball_field\baseballfield124.jpg,1,1
PatternNet\baseball_field\baseballfield132.jpg,1,1
PatternNet\baseball_field\baseballfield133.jpg,1,1
PatternNet\baseball_field\baseballfield134.jpg,1,1
PatternNet\baseball_field\baseballfield142.jpg,1,1
PatternNet\baseball_field\baseballfield143.jpg,1,1
PatternNet\baseball_field\baseballfield144.jpg,1,1
PatternNet\baseball_field\baseballfield152.jpg,1,1
PatternNet\baseball_field\baseballfield153.jpg,1,1
PatternNet\baseball_field\baseballfield154.jpg,1,1
PatternNet\baseball_field\baseballfield162.jpg,1,1
PatternNet\baseball_field\baseballfield163.jpg,1,1
PatternNet\baseball_field\baseballfield164.jpg,1,1
PatternNet\baseball_field\baseballfield172.jpg,1,1
PatternNet\baseball_field\baseballfield173.jpg,1,1
PatternNet\baseball_field\baseballfield174.jpg,1,1
PatternNet\baseball_field\baseballfield182.jpg,1,1
PatternNet\baseball_field\baseballfield183.jpg,1,1
PatternNet\baseball_field\baseballfield184.jpg,1,1
PatternNet\baseball_field\baseballfield192.jpg,1,1
PatternNet\baseball_field\baseballfield193.jpg,1,1
PatternNet\baseball_field\baseballfield194.jpg,1,1
PatternNet\baseball_field\baseballfield202.jpg,1,1
PatternNet\baseball_field\baseballfield203.jpg,1,1
PatternNet\baseball_field\baseballfield204.jpg,1,1
PatternNet\baseball_field\baseballfield212.jpg,1,1
PatternNet\baseball_field\baseballfield213.jpg,1,1
PatternNet\baseball_field\baseballfield214.jpg,1,1
PatternNet\baseball_field\baseballfield222.jpg,1,1
PatternNet\baseball_field\baseballfield223.jpg,1,1
PatternNet\baseball_field\baseballfield224.jpg,1,1
PatternNet\baseball_field\baseballfield232.jpg,1,1
PatternNet\baseball_field\baseballfield233.jpg,1,1
PatternNet\baseball_field\baseballfield234.jpg,1,1
PatternNet\baseball_field\baseballfield242.jpg,1,1
PatternNet\baseball_field\baseballfield243.jpg,1,1
PatternNet\baseball_field\baseballfield244.jpg,1,1
PatternNet\baseball_field\baseballfield252.jpg,1,1
PatternNet\baseball_field\baseballfield253.jpg,1,1
PatternNet\baseball_field\baseballfield254.jpg,1,1
PatternNet\baseball_field\baseballfield262.jpg,1,1
PatternNet\baseball_field\baseballfield263.jpg,1,1
PatternNet\baseball_field\baseballfield264.jpg,1,1
PatternNet\baseball_field\baseballfield272.jpg,1,1
PatternNet\baseball_field\baseballfield273.jpg,1,1
PatternNet\baseball_field\baseballfield274.jpg,1,1
PatternNet\baseball_field\baseballfield282.jpg,1,1
PatternNet\baseball_field\baseballfield283.jpg,1,1
PatternNet\baseball_field\baseballfield284.jpg,1,1
PatternNet\baseball_field\baseballfield292.jpg,1,1
PatternNet\baseball_field\baseballfield293.jpg,1,1
PatternNet\baseball_field\baseballfield294.jpg,1,1
PatternNet\baseball_field\baseballfield302.jpg,1,1
PatternNet\baseball_field\baseballfield303.jpg,1,1
PatternNet\baseball_field\baseballfield304.jpg,1,1
PatternNet\baseball_field\baseballfield312.jpg,1,1
PatternNet\baseball_field\baseballfield313.jpg,1,1
PatternNet\baseball_field\baseballfield314.jpg,1,1
PatternNet\baseball_field\baseballfield322.jpg,1,1
PatternNet\baseball_field\baseballfield323.jpg,1,1
PatternNet\baseball_field\baseballfield324.jpg,1,1
PatternNet\baseball_field\baseballfield332.jpg,1,1
PatternNet\baseball_field\baseballfield333.jpg,1,1
PatternNet\baseball_field\baseballfield334.jpg,1,1
PatternNet\baseball_field\baseballfield342.jpg,1,1
PatternNet\baseball_field\baseballfield343.jpg,1,1
PatternNet\baseball_field\baseballfield344.jpg,1,1
PatternNet\baseball_field\baseballfield352.jpg,1,1
PatternNet\baseball_field\baseballfield353.jpg,1,1
PatternNet\baseball_field\baseballfield354.jpg,1,1
PatternNet\baseball_field\baseballfield362.jpg,1,1
PatternNet\baseball_field\baseballfield363.jpg,1,1
PatternNet\baseball_field\baseballfield364.jpg,1,1
PatternNet\baseball_field\baseballfield372.jpg,1,1
PatternNet\baseball_field\baseballfield373.jpg,1,1
PatternNet\baseball_field\baseballfield374.jpg,1,1
PatternNet\baseball_field\baseballfield382.jpg,1,1
PatternNet\baseball_field\baseballfield383.jpg,1,1
PatternNet\baseball_field\baseballfield384.jpg,1,1
PatternNet\baseball_field\baseballfield392.jpg,1,1
PatternNet\baseball_field\baseballfield393.jpg,1,1
PatternNet\baseball_field\baseballfield394.jpg,1,1
PatternNet\baseball_field\baseballfield402.jpg,1,1
PatternNet\baseball_field\baseballfield403.jpg,1,1
PatternNet\baseball_field\baseballfield404.jpg,1,1
PatternNet\baseball_field\baseballfield412.jpg,1,1
PatternNet\baseball_field\baseballfield413.jpg,1,1
PatternNet\baseball_field\baseballfield414.jpg,1,1
PatternNet\baseball_field\baseballfield422.jpg,1,1
PatternNet\baseball_field\baseballfield423.jpg,1,1
PatternNet\baseball_field\baseballfield424.jpg,1,1
PatternNet\baseball_field\baseballfield432.jpg,1,1
PatternNet\baseball_field\baseballfield433.jpg,1,1
PatternNet\baseball_field\baseballfield434.jpg,1,1
PatternNet\baseball_field\baseballfield442.jpg,1,1
PatternNet\baseball_field\baseballfield443.jpg,1,1
PatternNet\baseball_field\baseballfield444.jpg,1,1
PatternNet\baseball_field\baseballfield452.jpg,1,1
PatternNet\baseball_field\baseballfield453.jpg,1,1
PatternNet\baseball_field\baseballfield454.jpg,1,1
PatternNet\baseball_field\baseballfield462.jpg,1,1
PatternNet\baseball_field\baseballfield463.jpg,1,1
PatternNet\baseball_field\baseballfield464.jpg,1,1
PatternNet\baseball_field\baseballfield472.jpg,1,1
PatternNet\baseball_field\baseballfield473.jpg,1,1
PatternNet\baseball_field\baseballfield474.jpg,1,1
PatternNet\baseball_field\baseballfield482.jpg,1,1
PatternNet\baseball_field\baseballfield483.jpg,1,1
PatternNet\baseball_field\baseballfield484.jpg,1,1
PatternNet\baseball_field\baseballfield492.jpg,1,1
PatternNet\baseball_field\baseballfield493.jpg,1,13
PatternNet\baseball_field\baseballfield494.jpg,1,35
PatternNet\baseball_field\baseballfield502.jpg,1,1
PatternNet\baseball_field\baseballfield503.jpg,1,1
PatternNet\baseball_field\baseballfield504.jpg,1,1
PatternNet\baseball_field\baseballfield512.jpg,1,1
PatternNet\baseball_field\baseballfield513.jpg,1,1
PatternNet\baseball_field\baseballfield514.jpg,1,1
PatternNet\baseball_field\baseballfield522.jpg,1,1
PatternNet\baseball_field\baseballfield523.jpg,1,1
PatternNet\baseball_field\baseballfield524.jpg,1,1
PatternNet\baseball_field\baseballfield532.jpg,1,1
PatternNet\baseball_field\baseballfield533.jpg,1,1
PatternNet\baseball_field\baseballfield534.jpg,1,1
PatternNet\baseball_field\baseballfield542.jpg,1,1
PatternNet\baseball_field\baseballfield543.jpg,1,1
PatternNet\baseball_field\baseballfield544.jpg,1,1
PatternNet\baseball_field\baseballfield552.jpg,1,1
PatternNet\baseball_field\baseballfield553.jpg,1,1
PatternNet\baseball_field\baseballfield554.jpg,1,1
PatternNet\baseball_field\baseballfield562.jpg,1,1
PatternNet\baseball_field\baseballfield563.jpg,1,1
PatternNet\baseball_field\baseballfield564.jpg,1,1
PatternNet\baseball_field\baseballfield572.jpg,1,1
PatternNet\baseball_field\baseballfield573.jpg,1,1
PatternNet\baseball_field\baseballfield574.jpg,1,1
PatternNet\baseball_field\baseballfield582.jpg,1,1
PatternNet\baseball_field\baseballfield583.jpg,1,1
PatternNet\baseball_field\baseballfield584.jpg,1,1
PatternNet\baseball_field\baseballfield592.jpg,1,1
PatternNet\baseball_field\baseballfield593.jpg,1,1
PatternNet\baseball_field\baseballfield594.jpg,1,1
PatternNet\baseball_field\baseballfield602.jpg,1,1
PatternNet\baseball_field\baseballfield603.jpg,1,1
PatternNet\baseball_field\baseballfield604.jpg,1,1
PatternNet\baseball_field\baseballfield612.jpg,1,1
PatternNet\baseball_field\baseballfield613.jpg,1,1
PatternNet\baseball_field\baseballfield614.jpg,1,1
PatternNet\baseball_field\baseballfield622.jpg,1,1
PatternNet\baseball_field\baseballfield623.jpg,1,1
PatternNet\baseball_field\baseballfield624.jpg,1,1
PatternNet\baseball_field\baseballfield632.jpg,1,1
PatternNet\baseball_field\baseballfield633.jpg,1,1
PatternNet\baseball_field\baseballfield634.jpg,1,1
PatternNet\baseball_field\baseballfield642.jpg,1,1
PatternNet\baseball_field\baseballfield643.jpg,1,1
PatternNet\baseball_field\baseballfield644.jpg,1,1
PatternNet\baseball_field\baseballfield652.jpg,1,1
PatternNet\baseball_field\baseballfield653.jpg,1,1
PatternNet\baseball_field\baseballfield654.jpg,1,1
PatternNet\baseball_field\baseballfield662.jpg,1,1
PatternNet\baseball_field\baseballfield663.jpg,1,1
PatternNet\baseball_field\baseballfield664.jpg,1,1
PatternNet\baseball_field\baseballfield672.jpg,1,1
PatternNet\baseball_field\baseballfield673.jpg,1,1
PatternNet\baseball_field\baseballfield674.jpg,1,1
PatternNet\baseball_field\baseballfield682.jpg,1,1
PatternNet\baseball_field\baseballfield683.jpg,1,1
PatternNet\baseball_field\baseballfield684.jpg,1,1
PatternNet\baseball_field\baseballfield692.jpg,1,1
PatternNet\baseball_field\baseballfield693.jpg,1,1
PatternNet\baseball_field\baseballfield694.jpg,1,1
PatternNet\baseball_field\baseballfield702.jpg,1,1
PatternNet\baseball_field\baseballfield703.jpg,1,1
PatternNet\baseball_field\baseballfield704.jpg,1,1
PatternNet\baseball_field\baseballfield712.jpg,1,1
PatternNet\baseball_field\baseballfield713.jpg,1,1
PatternNet\baseball_field\baseballfield714.jpg,1,1
PatternNet\baseball_field\baseballfield722.jpg,1,1
PatternNet\baseball_field\baseballfield723.jpg,1,1
PatternNet\baseball_field\baseballfield724.jpg,1,1
PatternNet\baseball_field\baseballfield732.jpg,1,1
PatternNet\baseball_field\baseballfield733.jpg,1,1
PatternNet\baseball_field\baseballfield734.jpg,1,1
PatternNet\baseball_field\baseballfield742.jpg,1,1
PatternNet\baseball_field\baseballfield743.jpg,1,1
PatternNet\baseball_field\baseballfield744.jpg,1,1
PatternNet\baseball_field\baseballfield752.jpg,1,1
PatternNet\baseball_field\baseballfield753.jpg,1,1
PatternNet\baseball_field\baseballfield754.jpg,1,1
PatternNet\baseball_field\baseballfield762.jpg,1,1
PatternNet\baseball_field\baseballfield763.jpg,1,1
PatternNet\baseball_field\baseballfield764.jpg,1,1
PatternNet\baseball_field\baseballfield772.jpg,1,1
PatternNet\baseball_field\baseballfield773.jpg,1,1
PatternNet\baseball_field\baseballfield774.jpg,1,1
PatternNet\baseball_field\baseballfield782.jpg,1,1
PatternNet\baseball_field\baseballfield783.jpg,1,1
PatternNet\baseball_field\baseballfield784.jpg,1,1
PatternNet\baseball_field\baseballfield792.jpg,1,1
PatternNet\baseball_field\baseballfield793.jpg,1,1
PatternNet\baseball_field\baseballfield794.jpg,1,1
PatternNet\basketball_court\basketballcourt002.jpg,2,2
PatternNet\basketball_court\basketballcourt003.jpg,2,2
PatternNet\basketball_court\basketballcourt004.jpg,2,2
PatternNet\basketball_court\basketballcourt012.jpg,2,2
PatternNet\basketball_court\basketballcourt013.jpg,2,2
PatternNet\basketball_court\basketballcourt014.jpg,2,2
PatternNet\basketball_court\basketballcourt022.jpg,2,2
PatternNet\basketball_court\basketballcourt023.jpg,2,2
PatternNet\basketball_court\basketballcourt024.jpg,2,2
PatternNet\basketball_court\basketballcourt032.jpg,2,37
PatternNet\basketball_court\basketballcourt033.jpg,2,2
PatternNet\basketball_court\basketballcourt034.jpg,2,2
PatternNet\basketball_court\basketballcourt042.jpg,2,2
PatternNet\basketball_court\basketballcourt043.jpg,2,2
PatternNet\basketball_court\basketballcourt044.jpg,2,2
PatternNet\basketball_court\basketballcourt052.jpg,2,2
PatternNet\basketball_court\basketballcourt053.jpg,2,2
PatternNet\basketball_court\basketballcourt054.jpg,2,2
PatternNet\basketball_court\basketballcourt062.jpg,2,2
PatternNet\basketball_court\basketballcourt063.jpg,2,2
PatternNet\basketball_court\basketballcourt064.jpg,2,2
PatternNet\basketball_court\basketballcourt072.jpg,2,2
PatternNet\basketball_court\basketballcourt073.jpg,2,2
PatternNet\basketball_court\basketballcourt074.jpg,2,19
PatternNet\basketball_court\basketballcourt082.jpg,2,2
PatternNet\basketball_court\basketballcourt083.jpg,2,26
PatternNet\basketball_court\basketballcourt084.jpg,2,2
PatternNet\basketball_court\basketballcourt092.jpg,2,13
PatternNet\basketball_court\basketballcourt093.jpg,2,35
PatternNet\basketball_court\basketballcourt094.jpg,2,2
PatternNet\basketball_court\basketballcourt102.jpg,2,2
PatternNet\basketball_court\basketballcourt103.jpg,2,13
PatternNet\basketball_court\basketballcourt104.jpg,2,13
PatternNet\basketball_court\basketballcourt112.jpg,2,2
PatternNet\basketball_court\basketballcourt113.jpg,2,2
PatternNet\basketball_court\basketballcourt114.jpg,2,2
PatternNet\basketball_court\basketballcourt122.jpg,2,2
PatternNet\basketball_court\basketballcourt123.jpg,2,2
PatternNet\basketball_court\basketballcourt124.jpg,2,2
PatternNet\basketball_court\basketballcourt132.jpg,2,2
PatternNet\basketball_court\basketballcourt133.jpg,2,2
PatternNet\basketball_court\basketballcourt134.jpg,2,2
PatternNet\basketball_court\basketballcourt142.jpg,2,2
PatternNet\basketball_court\basketballcourt143.jpg,2,2
PatternNet\basketball_court\basketballcourt144.jpg,2,2
PatternNet\basketball_court\basketballcourt152.jpg,2,2
PatternNet\basketball_court\basketballcourt153.jpg,2,2
PatternNet\basketball_court\basketballcourt154.jpg,2,2
PatternNet\basketball_court\basketballcourt162.jpg,2,2
PatternNet\basketball_court\basketballcourt163.jpg,2,31
PatternNet\basketball_court\basketballcourt164.jpg,2,2
PatternNet\basketball_court\basketballcourt172.jpg,2,2
PatternNet\basketball_court\basketballcourt173.jpg,2,2
PatternNet\basketball_court\basketballcourt174.jpg,2,2
PatternNet\basketball_court\basketballcourt182.jpg,2,2
PatternNet\basketball_court\basketballcourt183.jpg,2,2
PatternNet\basketball_court\basketballcourt184.jpg,2,2
PatternNet\basketball_court\basketballcourt192.jpg,2,2
PatternNet\basketball_court\basketballcourt193.jpg,2,2
PatternNet\basketball_court\basketballcourt194.jpg,2,2
PatternNet\basketball_court\basketballcourt202.jpg,2,2
PatternNet\basketball_court\basketballcourt203.jpg,2,2
PatternNet\basketball_court\basketballcourt204.jpg,2,2
PatternNet\basketball_court\basketballcourt212.jpg,2,2
PatternNet\basketball_court\basketballcourt213.jpg,2,2
PatternNet\basketball_court\basketballcourt214.jpg,2,2
PatternNet\basketball_court\basketballcourt222.jpg,2,37
PatternNet\basketball_court\basketballcourt223.jpg,2,37
PatternNet\basketball_court\basketballcourt224.jpg,2,2
PatternNet\basketball_court\basketballcourt232.jpg,2,2
